альфа-линолевая кислота;валин;витамин a;витамин b1;витамин b2;витамин b3;витамин b4;витамин b5;витамин b6;витамин b9;витамин c;витамин d3;витамин e;витамин k;гистидин;железо;изолейцин;йод;калий;кальций;лейцин;лизин;линолевая кислота;магний;марганец;медь;метионин;молибден;натрий;селен;треонин;триптофан;фенилаланин;фосфор;хром;цинк
льняное масло - 53.37%;яйца - 208.00%;батат - 106.78%;кунжут - 100.00%;сывороточный протеин - 153.85%;арахис - 90.00%;яйца - 63.40%;семена подсолнуха - 140.00%;red bull - 169.23%;фасоль - 158.25%;болгарский перец - 203.33%;яйца - 33.23%;подсолнечное масло - 281.51%;петрушка - 1366.67%;яйца - 85.71%;соя - 157.00%;яйца - 230.00%;картофель - 40.00%;морковь - 54.04%;сыр - 118.40%;яйца - 147.83%;яйца - 134.15%;майонез - 39.15%;пшеничные отруби - 152.75%;пшеничные отруби - 500.00%;шиитаке - 577.78%;яйца - 155.56%;соя - 697.78%;соль - 2981.38%;бразильский орех - 3485.45%;яйца - 154.17%;яйца - 125.00%;яйца - 106.82%;сывороточный протеин - 188.71%;кукуруза - 64.86%;кунжут - 92.73%
семена чиа - 17.83%;сыр - 100.00%;морковь - 92.78%;макадамия - 100.00%;сыр - 107.69%;шиитаке - 88.12%;сывороточный протеин - 44.80%;сывороточный протеин - 110.00%;фисташки - 130.77%;нут - 139.25%;петрушка - 147.78%;сыр - 16.62%;семена подсолнуха - 178.77%;шпинат - 410.83%;сыр - 66.67%;какао - 139.00%;соя - 100.00%;фасоль - 20.00%;шиитаке - 32.64%;семена чиа - 63.10%;сыр - 76.09%;сыр - 80.49%;грецкий орех - 38.09%;семена тыквы - 148.00%;кедровый орех - 382.61%;какао - 422.22%;бразильский орех - 61.11%;горох - 555.56%;оливки - 119.69%;семена подсолнуха - 144.18%;соя - 75.00%;соя - 75.00%;соя - 47.73%;семена тыквы - 176.14%;свекла - 57.14%;семена тыквы - 70.91%
грецкий орех - 9.08%;соя - 80.00%;шпинат - 65.11%;соя - 75.00%;яйца - 100.00%;пшеничные отруби - 85.00%;шиитаке - 40.20%;шиитаке - 72.00%;пшеничные отруби - 100.00%;соя - 93.75%;киви - 102.22%;кефир - 6.15%;фундук - 104.79%;кинза - 258.33%;соя - 52.38%;пшеничные отруби - 106.00%;сыр - 95.00%;шпинат - 13.33%;какао - 32.43%;сывороточный протеин - 46.90%;соя - 71.74%;соя - 65.85%;подсолнечное масло - 36.00%;какао - 124.75%;фундук - 269.57%;кешью - 244.44%;сыр - 55.56%;овес - 400.00%;сыр - 105.85%;пшеничные отруби - 141.09%;сыр - 54.17%;семена тыквы - 75.00%;сыр - 43.18%;семена подсолнуха - 165.00%;соя - 45.71%;шиитаке - 70.00%
майонез - 5.33%;семена тыквы - 64.00%;тыква - 47.33%;чечевица - 75.00%;миндаль - 92.31%;red bull - 61.25%;соя - 23.00%;сыр - 68.00%;чеснок - 92.31%;горох - 68.50%;укроп - 94.44%;йогурт - 0.62%;миндаль - 98.63%;майонез - 135.83%;семена тыквы - 38.10%;семена тыквы - 88.00%;семена тыквы - 65.00%;шампиньоны - 12.00%;сыр - 29.98%;соя - 27.70%;семена тыквы - 52.17%;горох - 43.90%;кедровый орех - 33.15%;бразильский орех - 94.00%;семена тыквы - 195.65%;фундук - 200.00%;кунжут - 50.00%;спаржа - 133.33%;майонез - 48.85%;яйца - 101.82%;семена тыквы - 41.67%;сыр - 75.00%;семена тыквы - 38.64%;пшеничные отруби - 144.71%;шампиньоны - 37.14%;пшеничные отруби - 66.36%
капуста брюссельская - 1.73%;фисташки - 52.00%;петрушка - 46.78%;фисташки - 75.00%;соя - 69.23%;семена чиа - 55.00%;нут - 19.80%;яйца - 60.00%;морковь - 76.92%;арахис - 60.00%;брокколи - 71.11%;молоко - 0.62%;оливковое масло - 98.63%;лук зеленый - 130.00%;фасоль - 33.33%;фасоль - 83.00%;фасоль - 55.00%;молоко - 7.33%;пшеничные отруби - 25.15%;миндаль - 26.80%;фасоль - 41.30%;чечевица - 41.46%;семена подсолнуха - 32.78%;кунжут - 86.50%;макадамия - 178.26%;семена подсолнуха - 200.00%;семена тыквы - 33.33%;пшеничные отруби - 130.00%;спаржа - 22.08%;семена чиа - 100.36%;фасоль - 37.50%;семена чиа - 50.00%;арахис - 31.82%;семена чиа - 122.86%;овес - 36.57%;какао - 61.82%
соя - 1.44%;фасоль - 52.00%;укроп - 42.89%;фасоль - 75.00%;пшеничные отруби - 46.15%;семена подсолнуха - 43.75%;фасоль - 19.20%;пшеничные отруби - 44.00%;семена подсолнуха - 61.54%;семена подсолнуха - 59.25%;капуста брюссельская - 68.89%;шампиньоны - 0.62%;кедровый орех - 63.70%;брокколи - 117.50%;чечевица - 33.33%;кунжут - 78.00%;чечевица - 55.00%;чеснок - 6.67%;курага - 24.72%;морковь - 21.20%;чечевица - 39.13%;фасоль - 39.02%;кунжут - 25.23%;семена чиа - 83.75%;какао - 165.22%;бразильский орех - 188.89%;соя - 27.78%;рис - 64.44%;морковь - 21.15%;шиитаке - 83.82%;чечевица - 37.50%;кунжут - 50.00%;фасоль - 31.82%;кунжут - 110.57%;чечевица - 30.86%;кедровый орех - 59.09%
фисташки - 0.21%;чечевица - 48.00%;яйца - 42.33%;овес - 66.67%;кунжут - 38.46%;морковь - 41.25%;чечевица - 19.20%;шампиньоны - 44.00%;кукуруза - 46.15%;чечевица - 51.00%;кольраби - 68.89%;шиитаке - 0.62%;арахис - 56.85%;капуста брюссельская - 116.67%;арахис - 33.33%;семена чиа - 77.00%;горох - 50.00%;кефир - 6.00%;фисташки - 21.81%;укроп - 20.80%;горох - 39.13%;нут - 34.15%;бразильский орех - 24.36%;кешью - 73.00%;грецкий орех - 147.83%;соя - 188.89%;фисташки - 22.22%;сыр - 24.44%;яйца - 15.92%;кунжут - 62.55%;арахис - 37.50%;какао - 37.50%;чечевица - 27.27%;какао - 104.86%;картофель - 28.57%;сывороточный протеин - 56.36%
фасоль - 0.18%;какао - 48.00%;сыр - 37.78%;горох - 58.33%;шампиньоны - 38.46%;рис - 40.62%;горох - 19.00%;чечевица - 42.00%;фундук - 46.15%;шпинат - 48.50%;капуста красная - 63.33%;;бразильский орех - 39.04%;капуста белокочанная - 90.00%;горох - 28.57%;чечевица - 74.00%;фисташки - 50.00%;свекла - 4.67%;семена подсолнуха - 18.09%;чеснок - 18.10%;фисташки - 36.96%;семена тыквы - 29.27%;семена тыквы - 20.71%;соя - 70.00%;булгур - 130.43%;грецкий орех - 177.78%;кешью - 22.22%;яйца - 20.00%;кукуруза - 15.77%;сыр - 54.55%;горох - 37.50%;фасоль - 37.50%;миндаль - 27.27%;бразильский орех - 103.57%;фасоль - 28.57%;кешью - 52.73%
сыр - 0.13%;горох - 48.00%;кинза - 37.44%;фундук - 50.00%;гречка - 30.77%;кунжут - 36.25%;пшеничные отруби - 14.80%;арахис - 36.00%;сывороточный протеин - 46.15%;спаржа - 47.75%;апельсин - 58.89%;;морковь - 37.67%;руккола - 90.00%;нут - 28.57%;кешью - 67.00%;арахис - 45.00%;горох - 4.00%;горох - 17.51%;руккола - 16.00%;арахис - 36.96%;фисташки - 29.27%;арахис - 15.56%;миндаль - 69.75%;семена чиа - 117.39%;кунжут - 166.67%;фасоль - 16.67%;картофель - 15.56%;шпинат - 10.00%;фасоль - 50.73%;какао - 33.33%;кешью - 37.50%;фисташки - 25.00%;соя - 100.57%;яйца - 20.00%;семена подсолнуха - 48.18%
семена тыквы - 0.12%;кешью - 44.00%;лук зеленый - 22.22%;арахис - 50.00%;морковь - 30.77%;гречка - 31.87%;морковь - 14.40%;горох - 36.00%;грецкий орех - 38.46%;шиитаке - 40.75%;капуста цветная - 48.89%;;курага - 29.45%;морковь - 90.00%;кунжут - 28.57%;укроп - 66.00%;нут - 45.00%;нут - 2.00%;семена тыквы - 17.21%;бразильский орех - 16.00%;кунжут - 32.61%;кешью - 21.95%;льняное масло - 14.33%;кедровый орех - 62.75%;соя - 108.70%;семена тыквы - 144.44%;арахис - 16.67%;чеснок - 6.67%;горох - 8.31%;кускус - 50.00%;нут - 33.33%;пшеничные отруби - 37.50%;горох - 25.00%;сыр - 99.14%;гречка - 17.14%;соя - 44.55%
